% IntCal13 raw data downloaded from http://intcal.qub.ac.uk/intcal13/ 
% Downloaded in 2016. As of 2020, the url redirects to IntCal20 data.						
%...Col 1	2	3	4	5	6	7
% setno	division	calage	calspan	calsig	c14age	c14sig
1	9	1915.5	10	0	1927	25
1	9	1905.5	10	0	1972	21
1	9	1895.5	10	0	1972	16
1	9	1895.5	10	0	1917	20
1	9	1885.5	10	0	1936	14
1	9	1875.5	10	0	1930	21
1	9	1875.5	10	0	1901	20
1	9	1865.5	10	0	1888	21
1	9	1855.5	10	0	1844	20
1	9	1855.5	10	0	1897	17
1	9	1845.5	10	0	1902	22
1	9	1835.5	10	0	1901	23
1	9	1825.5	10	0	1907	20
1	9	1825.5	10	0	1895	18
1	9	1825.5	10	0	1903	23
1	9	1815.5	10	0	1818	20
1	9	1815.5	10	0	1848	20
1	9	1805.5	10	0	1837	21
1	9	1795.5	10	0	1841	20
1	9	1785.5	10	0	1841	23
1	9	1775.5	10	0	1831	21
1	9	1765.5	10	0	1808	20
1	9	1755.5	10	0	1820	22
1	9	1745.5	10	0	1833	21
1	9	1745.5	10	0	1868	21
1	9	1735.5	10	0	1834	22
1	9	1725.5	10	0	1819	22
1	9	1715.5	10	0	1818	21
1	9	1705.5	10	0	1781	17
1	9	1695.5	10	0	1785	20
1	9	1685.5	10	0	1708	21
1	10	1215.5	10	0	1268	20
1	10	1205.5	10	0	1277	20
1	10	1195.5	10	0	1262	18
1	10	1185.5	10	0	1280	20
1	10	1175.5	10	0	1248	21
1	10	1005.5	10	0	1119	20
1	10	995.5	10	0	1121	21
1	10	985.5	10	0	1116	20
1	10	975.5	10	0	1123	20
1	10	965.5	10	0	1066	17
1	10	955.5	10	0	1047	17
1	10	945.5	10	0	1002	20
1	10	935.5	10	0	1029	20
1	10	925.5	10	0	974	18
1	10	915.5	10	0	956	20
1	10	905.5	10	0	918	18
1	10	895.5	10	0	936	20
1	10	885.5	10	0	915	18
1	10	875.5	10	0	897	20
1	10	865.5	10	0	898	20
1	10	865.5	10	0	925	14
1	10	855.5	10	0	940	20
1	10	845.5	10	0	949	18
1	10	835.5	10	0	937	21
1	10	825.5	10	0	914	20
1	10	815.5	10	0	911	22
1	10	805.5	10	0	960	18
1	10	805.5	10	0	975	20
1	10	795.5	10	0	907	18
1	10	785.5	10	0	848	18
